,Month/year,Total,Germany,Belgium,France,Ireland,Italy,Netherlands,Nordic countries,Portugal,United Kingdom,Russia,Switzerland,Rest of EU,United States,Rest of America,Rest of the world
0,12/2018 ,977.2,58.6,14.6,199.0,11.9,100.6,21.9,23.5,0.0,92.7,24.9,14.7,118.1,62.1,57.7,169.0
1,11/2018 ,1040.7,71.3,23.9,193.9,8.9,76.0,26.2,33.5,9.4,92.5,27.2,22.9,124.6,80.2,65.2,184.8
2,10/2018 ,1655.6,129.4,22.3,311.1,29.0,94.1,69.9,75.5,0.0,184.3,49.0,12.0,218.2,148.0,91.8,211.1
3,09/2018 ,2005.3,162.9,41.8,343.0,33.4,117.2,66.5,54.1,35.0,258.5,108.4,21.7,262.2,131.9,125.6,243.2
4,08/2018 ,2439.0,186.7,57.6,755.5,45.1,160.9,118.6,66.7,17.4,278.0,107.4,22.1,240.6,103.8,97.6,180.8
5,07/2018 ,2385.7,175.1,67.9,516.0,53.5,114.2,153.1,125.3,28.1,221.0,119.2,36.3,229.7,172.0,116.5,257.9
6,06/2018 ,2090.4,136.7,37.7,308.1,48.4,100.6,67.0,103.1,20.1,279.6,117.2,20.5,275.2,211.1,100.7,264.4
7,May-18,1885.4,154.1,31.1,444.3,30.2,77.8,65.8,84.7,16.4,211.1,53.9,22.5,226.8,160.9,114.4,191.3
8,Apr-18,1570.9,94.4,38.8,405.9,19.4,115.5,55.6,46.9,13.9,158.6,40.9,12.5,191.1,111.7,92.4,173.5
9,Mar-18,1217.3,122.4,28.0,261.7,10.7,79.2,32.4,48.0,9.3,138.3,30.5,20.3,141.5,79.4,63.5,152.0
10,Feb-18,1015.8,85.7,20.2,218.4,11.7,66.7,29.9,28.1,17.2,97.8,21.7,19.1,124.0,44.0,86.1,145.1
11,Jan-18,864.8,40.6,17.8,179.8,8.8,93.9,29.7,17.7,6.5,74.4,26.3,22.3,103.1,54.7,70.1,119.1
12,Dec-17,822.8,50.5,16.5,176.4,11.0,82.7,19.6,25.5,12.1,65.8,26.7,30.0,65.3,57.5,62.9,120.3
13,Nov-17,981.5,77.7,20.3,219.5,10.3,71.3,22.7,31.3,7.3,92.5,23.8,25.8,139.3,57.0,69.1,113.5
14,Oct-17,1497.0,123.6,32.4,296.8,21.1,83.7,64.5,76.2,9.7,159.9,35.5,51.8,172.9,87.1,109.0,172.8
15,Sep-17,1999.7,210.7,56.1,355.1,27.4,105.2,72.6,75.6,19.4,250.2,102.5,47.9,187.0,168.7,131.3,190.0
16,Aug-17,2567.6,196.6,56.4,749.0,36.1,139.3,155.6,87.6,28.2,339.0,115.3,16.8,237.8,96.7,97.6,215.7
17,Jul-17,2557.1,188.5,85.8,596.0,49.5,136.0,183.3,134.1,12.1,260.6,117.1,46.4,255.3,144.4,106.8,241.2
18,Jun-17,2026.4,164.5,38.1,353.6,50.3,96.9,74.2,100.3,28.9,287.4,101.1,32.1,194.8,161.6,114.1,228.4
19,May-17,1920.9,146.4,37.9,481.6,58.6,113.3,76.4,76.6,8.0,247.4,54.4,24.5,161.7,124.7,99.9,209.7
20,Apr-17,1755.0,152.1,46.6,530.2,25.8,134.4,43.8,84.5,18.6,157.3,42.4,55.1,125.7,71.8,85.2,181.5
21,Mar-17,1155.0,93.6,19.5,261.2,0.0,96.3,23.5,39.5,10.5,131.5,23.4,27.2,164.7,74.6,54.7,133.3
22,Feb-17,989.2,95.5,19.6,273.9,5.9,67.0,28.3,23.6,12.9,115.5,23.6,27.3,108.5,35.5,60.9,91.4
23,Jan-17,846.2,69.1,17.7,194.0,2.8,82.8,21.0,30.6,6.3,67.4,35.7,14.4,99.2,34.5,63.4,107.3
24,Dec-16,956.5,59.9,14.1,281.0,10.3,87.6,21.0,36.1,6.9,70.4,17.4,22.0,104.8,48.6,49.3,127.1
25,Nov-16,1010.0,92.9,19.1,239.1,17.0,72.7,26.0,37.9,5.2,93.5,20.1,12.3,154.2,48.2,57.0,114.7
26,Oct-16,1562.9,140.2,23.8,397.6,22.8,74.7,45.6,78.2,28.6,182.2,36.6,24.1,178.0,74.5,87.1,168.8
27,Sep-16,1876.9,191.5,46.9,354.9,37.9,89.6,66.9,95.3,19.4,249.0,73.3,46.1,196.2,106.6,92.7,210.5
28,Aug-16,2501.2,194.9,65.0,788.8,55.6,194.1,152.8,59.5,22.6,290.1,93.5,17.5,208.6,85.6,79.9,192.6
29,Jul-16,2394.8,174.4,109.3,557.4,73.7,129.6,131.2,109.1,10.9,255.4,84.9,23.5,239.8,131.7,113.8,250.0
30,Jun-16,1850.8,160.2,31.9,364.7,46.7,138.7,51.7,80.9,24.5,281.8,92.9,29.9,166.2,137.7,79.7,163.4
31,May-16,1630.4,149.9,39.2,444.1,34.4,66.4,67.7,67.2,29.1,203.0,51.5,35.4,133.9,78.8,68.4,161.4
32,Apr-16,1483.0,143.1,27.3,471.6,25.0,108.7,75.1,65.2,15.7,162.5,29.6,22.1,113.5,44.0,57.5,122.3
33,Mar-16,1076.4,100.2,18.8,216.3,13.7,74.7,39.1,51.3,23.9,117.8,18.9,32.6,149.8,56.1,46.4,116.8
34,Feb-16,930.4,70.3,23.0,241.8,3.4,76.3,31.4,39.6,15.0,89.2,15.9,30.3,83.6,31.9,51.3,127.4
35,Jan-16,865.8,61.1,16.7,216.9,13.5,75.8,28.9,24.2,13.9,66.1,26.9,27.6,106.6,20.3,53.7,113.6
